Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW,Memory_mB
2025-10-07 15:18:35,Hello; my name is (gen 1),GPU,0.9995,7367.9790,0.0000,10.0578,78975.6346,0.0000,11.8281,11.8484,0.5774,0.8493,12.0211,11.9423,0.8001,0.8978,12.0018,11.9596,1.4634,1.1487,10063.3295,10718.7648,13737.8101,283.0953
2025-10-07 15:18:42,Hello; my name is (gen 2),GPU,0.0000,7253.9279,0.9987,0.0000,67589.0252,13.0183,11.9655,11.7112,0.8321,0.8674,12.0614,11.8424,0.5470,0.7854,12.0016,11.9118,0.8102,1.0943,10158.2029,9317.5760,13034.7950,304.9994
2025-10-07 15:18:50,Hello; my name is (gen 3),GPU,0.0000,7260.1979,0.9997,0.0000,80507.3824,10.7441,11.8694,11.8372,0.9455,1.0136,12.0083,11.8829,1.3338,0.9318,12.0709,11.9395,0.5475,0.9002,11997.8789,11088.8689,10747.3921,697.2737
2025-10-07 15:18:58,Hello; my name is (gen 4),GPU,0.5066,7239.0559,1.0002,6.8052,55483.1196,6.4553,11.9968,11.8891,0.6097,1.1298,11.9711,11.8706,0.6902,0.6460,12.0872,11.8349,1.4678,0.5454,13432.0269,7664.4138,6454.2254,556.0132
2025-10-07 15:19:06,Hello; my name is (gen 5),GPU,0.5112,7262.8706,0.0000,7.0989,99832.7220,0.0000,11.9764,11.9785,0.5345,1.1594,12.0501,11.7885,0.7649,1.1660,11.9156,11.9150,0.8051,0.7334,13887.4825,13745.6287,8738.3486,651.3744
2025-10-07 15:19:13,Hello; my name is (gen 6),GPU,0.0000,7264.8699,0.0000,0.0000,69723.6916,0.0000,12.0354,11.9193,1.4260,0.6440,11.9423,11.9261,1.4876,0.8042,11.8680,11.7182,1.0138,0.7598,7675.5605,9597.3765,8903.7590,769.6618
2025-10-07 15:19:21,Hello; my name is (gen 7),GPU,0.0000,7245.1520,0.9999,0.0000,71257.3865,11.9477,11.8509,11.9370,0.5507,0.4807,11.9607,11.9683,1.4295,0.8222,12.0194,11.9408,0.5243,1.0007,5738.5653,9835.1817,11948.5636,290.8167
2025-10-07 15:19:29,Hello; my name is (gen 8),GPU,0.0000,7273.1881,0.0000,0.0000,65939.4886,0.0000,12.0725,11.9626,0.5822,1.1663,11.9673,11.8129,1.4933,0.7675,11.9499,11.7197,1.3479,0.9735,13951.5218,9066.1052,11408.6524,579.2513
2025-10-07 15:19:37,Hello; my name is (gen 9),GPU,0.0000,7338.1236,1.5078,0.0000,95559.6083,8.7197,11.8170,11.8764,0.7241,0.4353,12.0220,11.9174,0.9158,1.0927,11.8757,11.8498,0.5305,0.4880,5169.9482,13022.3493,5783.2204,701.0577
2025-10-07 15:19:45,Hello; my name is (gen 10),GPU,0.0000,7322.7730,1.0002,0.0000,91558.6350,13.3047,11.9965,11.7881,1.1145,0.8599,12.0532,11.8930,1.4008,1.0513,11.9275,11.8365,0.8975,1.1239,10135.9846,12503.2737,13302.4901,382.5447
2025-10-07 15:19:53,Hello; my name is (gen 11),GPU,0.0000,7316.1488,1.0006,0.0000,43383.8303,7.1752,11.9483,11.8036,0.7417,0.6319,11.9897,11.7583,1.3032,0.5040,11.8356,11.8715,0.8307,0.6040,7458.2974,5929.8726,7170.5965,684.2005
2025-10-07 15:20:00,Hello; my name is (gen 12),GPU,0.0000,7283.4051,0.0000,0.0000,55240.0982,0.0000,12.0550,11.7356,1.4958,0.9277,12.0625,11.8694,0.9131,0.6372,12.0399,11.7330,1.4370,0.7050,10886.6651,7584.3781,8271.3337,644.7858
2025-10-07 15:20:08,Hello; my name is (gen 13),GPU,0.0000,7246.3202,0.9992,0.0000,44761.2417,8.5052,12.0920,11.9422,1.1644,0.9392,12.0386,11.8546,1.1977,0.5208,11.9343,11.9902,1.3782,0.7099,11215.8969,6177.0996,8511.9036,653.6260
2025-10-07 15:20:16,Hello; my name is (gen 14),GPU,0.0000,7260.5879,0.0000,0.0000,80533.4648,0.0000,12.0182,11.9363,0.6664,0.4145,12.0463,11.8943,1.0005,0.9333,11.9462,11.8247,0.7536,0.8681,4947.8037,11091.8655,10264.6029,380.1019
2025-10-07 15:20:24,Hello; my name is (gen 15),GPU,0.0000,7243.1152,0.9990,0.0000,60575.4890,9.7973,11.9100,11.8640,0.5753,0.7416,11.9408,11.8317,0.7247,0.7089,11.9226,11.8063,0.6415,0.8307,8798.9607,8363.1818,9807.3916,441.9907
2025-10-07 15:20:31,Hello; my name is (gen 16),GPU,0.0000,7272.7849,0.9995,0.0000,92617.6842,10.7171,11.9393,11.9214,0.8257,1.1438,12.0694,11.8745,1.0617,1.0723,11.9145,11.7411,0.9488,0.9133,13635.3747,12734.8306,10722.9888,555.7191
2025-10-07 15:20:39,Hello; my name is (gen 17),GPU,0.0000,7245.9605,1.0002,0.0000,94086.5565,10.8754,11.9082,11.9404,1.0071,0.5194,12.0382,11.9678,1.4678,1.0849,11.9983,11.8589,0.9592,0.9169,6202.0871,12984.6908,10873.6060,361.5369
2025-10-07 15:20:47,Hello; my name is (gen 18),GPU,0.0000,7275.7628,0.0000,0.0000,44018.9680,0.0000,12.0619,11.9986,0.8549,0.8635,11.9253,11.7818,1.3739,0.5131,11.8049,11.8286,1.1185,0.4363,10360.8242,6050.0829,5161.2682,474.0627
2025-10-07 15:20:55,Hello; my name is (gen 19),GPU,0.0000,7256.3934,0.0000,0.0000,64933.9366,0.0000,11.8214,11.8927,1.3700,0.7593,12.0677,11.7728,1.4666,0.7608,12.0438,11.7331,1.2920,0.8645,9030.1764,8948.5138,10143.2882,217.8233
2025-10-07 15:21:02,Hello; my name is (gen 20),GPU,0.0000,7256.1307,1.0014,0.0000,60902.0641,10.2057,12.0469,11.8822,1.3316,1.1995,11.8642,11.9608,0.8277,0.7013,12.0783,11.9903,0.9607,0.8500,14252.4818,8393.1873,10191.8842,213.4553
2025-10-07 15:21:10,Hello; my name is (gen 21),GPU,0.0000,7265.5573,1.0004,0.0000,82556.8619,6.8120,12.0219,11.9484,0.6119,0.7804,12.0712,11.8436,0.8941,0.9592,11.9850,11.7047,0.6135,0.5818,9324.7316,11362.7708,6809.2174,457.8727
2025-10-07 15:21:18,Hello; my name is (gen 22),GPU,0.0000,7273.6130,0.9999,0.0000,77171.2389,11.0984,12.0417,11.8992,1.2939,0.8078,12.0572,11.8469,0.9132,0.8972,11.8426,11.8163,0.7155,0.9393,9612.0023,10609.7533,11099.1992,642.5934
2025-10-07 15:21:26,Hello; my name is (gen 23),GPU,0.0000,7300.5664,0.9995,0.0000,58913.2945,12.8308,11.9833,11.9834,0.9765,0.5055,11.9745,11.8916,1.2438,0.6796,11.9801,11.9493,0.9806,1.0744,6057.1242,8069.6882,12837.8067,523.4952
2025-10-07 15:21:33,Hello; my name is (gen 24),GPU,0.0000,7241.1437,0.0000,0.0000,68393.6754,0.0000,12.0284,11.7450,1.4421,0.9447,11.9068,11.8046,1.2606,0.7982,11.8037,11.8295,1.2827,1.1571,11095.9591,9445.1482,13687.5568,443.1486
2025-10-07 15:21:41,Hello; my name is (gen 25),GPU,0.0000,7280.7784,0.9999,0.0000,71866.2025,7.9991,11.8825,11.8855,0.8865,0.6219,11.9841,11.7796,1.3565,0.8371,11.9653,11.9280,0.7211,0.6707,7391.6175,9870.6757,7999.6878,647.7445
2025-10-07 15:21:49,Hello; my name is (gen 26),GPU,0.0000,7268.1487,1.0004,0.0000,71551.2186,7.6948,12.0113,11.7337,0.9435,1.1477,12.0017,11.9281,1.4250,0.8254,12.0025,11.8199,0.6827,0.6507,13466.5742,9844.4902,7691.6970,639.3128
2025-10-07 15:21:57,Hello; my name is (gen 27),GPU,0.0000,7268.5242,0.0000,0.0000,87162.4486,0.0000,11.8792,11.7233,0.9475,0.4617,11.8681,11.8060,1.3114,1.0153,11.9263,11.7350,0.7989,1.1424,5412.0985,11991.7670,13405.6939,240.4259
2025-10-07 15:22:05,Hello; my name is (gen 28),GPU,0.0000,7260.6423,1.0002,0.0000,69136.6005,6.5457,12.0398,11.8234,0.8503,1.0861,12.0239,11.8866,1.4831,0.8015,11.8035,11.8812,0.9299,0.5508,12841.0843,9522.1053,6544.6303,724.2506
2025-10-07 15:22:12,Hello; my name is (gen 29),GPU,0.5121,7252.7812,1.0009,4.1403,79362.0904,12.2005,12.0399,11.9001,1.4784,0.6794,12.0963,11.8835,1.1517,0.9221,11.9043,11.7892,0.6685,1.0340,8084.6560,10942.2977,12189.8084,201.9384
2025-10-07 15:22:20,Hello; my name is (gen 30),GPU,0.0000,7257.0860,0.0000,0.0000,79789.1070,0.0000,11.8796,11.8611,1.3604,0.7306,12.0939,11.8571,0.9001,0.9283,11.8327,11.7173,0.5829,0.8855,8666.2800,10994.6481,10376.2458,389.1572
2025-10-07 15:22:28,Hello; my name is (gen 31),GPU,0.0000,7271.0421,0.0000,0.0000,79205.4251,0.0000,11.9427,11.9479,1.3226,1.1545,11.9316,11.7512,1.4699,0.9271,11.8545,11.7274,1.1927,0.6182,13794.0577,10893.2700,7249.4405,434.8329
2025-10-07 15:22:36,Hello; my name is (gen 32),GPU,0.0000,7411.6580,0.0000,0.0000,58156.4215,0.0000,11.8287,11.8785,0.8611,0.9439,11.9947,11.8985,1.2074,0.6596,12.0627,11.8975,0.9857,0.7628,11211.9214,7846.6142,9075.2007,437.8019
2025-10-07 15:22:44,Hello; my name is (gen 33),GPU,0.5202,7347.3897,0.9997,3.8821,60562.2677,9.6404,12.0336,11.9973,1.2700,0.6220,11.9198,11.9750,0.7965,0.6884,12.0832,11.8573,0.5163,0.8133,7462.2011,8242.6916,9643.4182,667.8898
2025-10-07 15:22:51,Hello; my name is (gen 34),GPU,0.5047,7351.1865,0.0000,6.0290,68431.4315,0.0000,11.8617,11.8974,1.0430,1.0040,11.9542,11.8598,1.3841,0.7859,11.9916,11.9544,0.5448,0.8658,11945.0026,9308.8961,10349.6776,666.1215
2025-10-07 15:22:59,Hello; my name is (gen 35),GPU,0.0000,7276.6850,1.0023,0.0000,91887.0908,11.5957,12.0234,11.7305,1.1972,0.5031,11.9413,11.9422,0.8230,1.0574,12.0734,11.8630,0.8548,0.9752,5902.0859,12627.6032,11568.9632,338.2365
2025-10-07 15:23:07,Hello; my name is (gen 36),GPU,0.0000,7309.1464,0.0000,0.0000,52674.8124,0.0000,11.9707,11.7125,1.2637,1.0426,11.9966,11.8268,0.9487,0.6083,11.8718,11.7810,0.9445,0.5849,12212.0124,7206.6982,6891.2696,243.2805
2025-10-07 15:23:15,Hello; my name is (gen 37),GPU,0.0000,7263.8280,1.5044,0.0000,77532.4320,10.3313,11.8032,11.7716,1.2216,0.6604,12.0414,11.9596,0.7073,0.8921,11.9071,11.8375,0.9968,0.5801,7773.6829,10673.7703,6867.2879,272.5307
2025-10-07 15:23:23,Hello; my name is (gen 38),GPU,0.0000,7301.5654,0.0000,0.0000,74886.2997,0.0000,11.9401,11.9651,1.1795,0.7141,12.0599,11.8418,1.3129,0.8655,12.0444,11.7123,0.6219,0.7329,8544.5714,10256.1979,8583.3666,649.8033
2025-10-07 15:23:30,Hello; my name is (gen 39),GPU,0.0000,7292.8524,0.9999,0.0000,76143.7764,6.2981,11.8875,11.8541,0.8384,1.1594,11.9464,11.8269,1.3712,0.8828,12.0576,11.9463,1.0576,0.5272,13743.8494,10440.8772,6298.5201,476.7180
2025-10-07 15:23:38,Hello; my name is (gen 40),GPU,0.0000,7347.9352,0.9997,0.0000,57179.4169,5.7548,12.0184,11.9278,0.5608,0.4688,11.9861,11.8146,1.3952,0.6586,11.8142,11.7679,1.2056,0.4892,5592.1721,7781.6986,5756.5826,219.8300
2025-10-07 15:23:46,Hello; my name is (gen 41),GPU,0.0000,7220.6211,1.0006,0.0000,57858.7555,10.7264,11.8446,11.8245,1.3136,0.8082,12.0897,11.8350,1.2861,0.6758,12.0540,11.9158,0.9504,0.8996,9557.1014,8012.9887,10719.5466,547.3164
2025-10-07 15:23:54,Hello; my name is (gen 42),GPU,0.0000,7308.0635,1.0002,0.0000,88926.7025,11.5060,11.9424,11.8011,1.0496,0.5457,11.9407,11.8633,0.9171,1.0239,11.8254,11.9442,0.6192,0.9632,6440.3042,12168.2991,11504.0647,219.0992
2025-10-07 15:24:02,Hello; my name is (gen 43),GPU,0.5138,7260.6521,0.9997,5.5736,72836.5284,5.7043,12.0086,11.7631,1.3643,0.9222,12.0285,11.9501,0.9901,0.8395,12.0735,11.8308,1.4464,0.4823,10847.8898,10031.6787,5706.1124,509.1945
2025-10-07 15:24:09,Hello; my name is (gen 44),GPU,0.0000,7256.0194,1.0040,0.0000,72286.2071,9.0612,12.0042,11.8372,1.4122,0.5678,12.0009,11.8046,0.6113,0.8445,12.0241,11.8732,1.0722,0.7601,6721.5483,9962.2401,9025.3112,692.3123
2025-10-07 15:24:17,Hello; my name is (gen 45),GPU,0.5064,7259.3822,0.9990,3.9062,64312.2116,5.3211,11.8012,11.8565,0.9001,0.6506,11.8793,11.8158,0.7529,0.7497,11.9572,11.8207,1.3588,0.4506,7713.6737,8859.1852,5326.5481,687.7009
2025-10-07 15:24:25,Hello; my name is (gen 46),GPU,0.0000,7250.7932,1.0002,0.0000,64284.4559,12.4970,12.0416,11.9852,1.1588,0.7171,12.0264,11.8020,1.4475,0.7529,12.0156,11.7813,1.0090,1.0606,8595.0365,8865.8515,12494.9257,380.6355
2025-10-07 15:24:33,Hello; my name is (gen 47),GPU,0.0000,7368.7301,0.9997,0.0000,69108.8558,7.6831,11.9746,11.9528,1.1131,0.6364,11.9709,11.8996,1.1679,0.7883,12.0178,11.7160,0.5716,0.6560,7606.6889,9378.6657,7685.4985,331.2417
2025-10-07 15:24:40,Hello; my name is (gen 48),GPU,0.0000,7234.0491,0.9997,0.0000,44250.3622,10.6953,12.0400,11.9723,0.6783,0.8897,12.0521,11.9333,1.1138,0.5123,11.8745,11.9899,0.7039,0.8923,10651.8603,6116.9563,10698.6311,572.8147
2025-10-07 15:24:48,Hello; my name is (gen 49),GPU,0.0000,7236.1133,0.0000,0.0000,63042.9679,0.0000,12.0764,11.7187,0.6238,0.4880,11.9853,11.7660,0.7693,0.7405,11.9769,11.7107,0.7368,0.6060,5718.9687,8712.2693,7096.8383,339.4306
2025-10-07 15:24:56,Hello; my name is (gen 50),GPU,0.0000,7223.0415,0.0000,0.0000,61275.9612,0.0000,11.8845,11.7983,0.7849,0.4899,11.9160,11.8400,1.4485,0.7184,11.8138,11.7989,0.5535,0.6632,5780.2802,8483.4015,7824.6045,267.3813
2025-10-07 15:25:04,Hello; my name is (gen 51),GPU,0.0000,7232.0452,0.5095,0.0000,53830.3430,2.8901,12.0979,11.7729,0.9507,0.7400,11.9627,11.8052,0.7547,0.6301,12.0335,11.8984,0.7090,0.4767,8712.0571,7443.3085,5672.3360,455.6413
2025-10-07 15:25:11,Hello; my name is (gen 52),GPU,0.0000,7238.5478,0.0000,0.0000,82230.7278,0.0000,11.8195,11.9921,0.7985,0.4948,11.8763,11.8326,1.1876,0.9620,11.8064,11.9625,0.6357,0.8164,5934.2204,11360.1139,9766.5069,434.1447
2025-10-07 15:25:19,Hello; my name is (gen 53),GPU,0.0000,7252.0299,0.9999,0.0000,70442.4735,8.6940,11.9531,11.7413,0.8749,1.0077,11.9955,11.8729,1.3103,0.8191,11.9772,11.8448,1.4384,0.7340,11832.1477,9713.4836,8694.6084,531.0302
2025-10-07 15:25:27,Hello; my name is (gen 54),GPU,0.0000,7209.8393,0.0000,0.0000,80985.0853,0.0000,12.0934,11.9803,0.7092,1.1203,12.0002,11.8393,0.8267,0.9494,11.8547,11.9967,1.2274,0.7050,13421.4877,11232.5783,8457.8928,550.8912
2025-10-07 15:25:35,Hello; my name is (gen 55),GPU,0.0000,7218.7903,1.0002,0.0000,75242.1166,6.2853,12.0908,11.7116,1.2676,0.9933,11.9902,11.8935,1.0644,0.8737,11.9283,11.7745,0.6769,0.5337,11633.0939,10423.0922,6284.3028,569.9716
2025-10-07 15:25:42,Hello; my name is (gen 56),GPU,0.0000,7230.3288,1.0037,0.0000,97693.7449,5.0438,11.8180,11.8789,0.5681,0.4534,11.9614,11.7517,0.7641,1.1498,11.8565,11.9697,1.4087,0.4198,5386.0855,13511.6601,5025.0177,341.8770
2025-10-07 15:25:50,Hello; my name is (gen 57),GPU,0.0000,7261.3187,0.9999,0.0000,77354.2744,5.8947,12.0314,11.7347,1.2172,1.1952,11.9559,11.8624,1.3670,0.8995,11.8969,11.9347,0.7537,0.4940,14024.8244,10652.9238,5895.1489,659.8737
