Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW,Memory_mB
2025-10-07 15:44:21,Hello; my name is (gen 1),GPU,1.9999,2741.3774,0.0000,24.5554,29726.2260,0.0000,11.9887,11.8158,0.5339,1.0392,12.0380,11.9022,0.9077,0.9111,11.8806,11.7601,1.1758,0.4562,12278.5741,10843.5367,5364.8871,350.0645
2025-10-07 15:44:23,Hello; my name is (gen 2),GPU,0.5081,914.8078,0.0000,6.0193,8699.2799,0.0000,11.9065,11.7045,0.5885,1.0122,11.9312,11.8806,1.1609,0.7983,12.0694,11.9999,1.2595,0.7261,11847.4185,9509.4073,8712.7321,613.2870
2025-10-07 15:44:24,Hello; my name is (gen 3),GPU,0.5152,1093.0839,0.9999,2.8949,6798.6233,7.4946,11.9665,11.8753,1.1200,0.4732,12.0215,11.7972,1.0209,0.5274,11.8958,11.7340,1.4289,0.6387,5618.7923,6219.6722,7495.1122,603.4600
2025-10-07 15:44:31,Hello; my name is (gen 4),GPU,0.0000,6122.4122,0.0000,0.0000,38788.8822,0.0000,12.0400,11.8253,1.4255,0.9039,12.0322,11.8925,1.0937,0.5327,11.9240,11.9951,0.5937,0.5931,10688.9300,6335.5555,7113.9413,645.0874
2025-10-07 15:44:33,Hello; my name is (gen 5),GPU,0.0000,2237.8013,0.0000,0.0000,18926.3609,0.0000,11.9064,11.8606,0.5100,1.0859,12.0820,11.7778,1.2811,0.7182,12.0100,11.8808,1.4989,0.5448,12879.1925,8457.5698,6472.7754,441.2129
2025-10-07 15:44:37,Hello; my name is (gen 6),GPU,0.0000,3337.9350,0.0000,0.0000,33908.3415,0.0000,11.8535,11.7489,1.2769,1.1967,11.9077,11.9369,1.1056,0.8507,11.8276,11.9037,0.7464,0.4259,14060.2719,10158.4788,5069.2187,451.0990
2025-10-07 15:44:40,Hello; my name is (gen 7),GPU,0.0000,2039.3558,0.0000,0.0000,22919.9611,0.0000,12.0369,11.7514,0.7217,0.7570,12.0337,11.7741,1.4639,0.9544,12.0141,11.8394,1.2174,0.4294,8895.6374,11238.8243,5083.7105,238.7911
2025-10-07 15:44:42,Hello; my name is (gen 8),GPU,0.0000,2035.5477,0.0000,0.0000,14095.7629,0.0000,12.0843,11.8546,0.6349,0.8944,12.0494,11.9385,1.3085,0.5804,11.9908,11.7584,0.9875,1.1522,10602.5253,6924.8009,13547.9823,313.6340
2025-10-07 15:44:44,Hello; my name is (gen 9),GPU,0.0000,1098.5937,0.0000,0.0000,8126.6131,0.0000,12.0445,11.8796,1.2250,1.0603,11.9745,11.9295,0.7151,0.6205,11.9708,11.8069,1.3104,0.9266,12595.5014,7397.2871,10940.6537,428.3284
2025-10-07 15:44:45,Hello; my name is (gen 10),GPU,0.0000,1092.9837,0.0000,0.0000,11602.7415,0.0000,11.8729,11.7075,0.5116,1.0025,11.9631,11.7921,1.1556,0.8992,12.0952,11.8523,1.3484,0.9530,11736.8842,10615.6581,11295.7778,422.1444
2025-10-07 15:44:47,Hello; my name is (gen 11),GPU,0.0000,1097.0221,0.0000,0.0000,9747.0816,0.0000,12.0812,11.9416,1.1776,0.6708,11.9429,11.8356,1.0720,0.7506,11.8775,11.7187,1.2773,0.9447,8010.3250,8885.0370,11070.4570,573.1921
2025-10-07 15:44:57,Hello; my name is (gen 12),GPU,0.0000,9993.1858,0.0000,0.0000,65192.4113,0.0000,11.8765,11.9762,1.1030,1.1125,11.8656,11.8233,0.9939,0.5520,11.8205,11.8570,1.0619,0.6293,13322.9975,6523.6865,7462.0813,638.7362
2025-10-07 15:44:59,Hello; my name is (gen 13),GPU,0.0000,2036.9828,0.0000,0.0000,25268.4410,0.0000,12.0590,11.8165,0.5608,0.7651,12.0518,11.8365,0.8307,1.0481,11.9777,11.9997,1.4932,0.6796,9041.3484,12404.8378,8154.8572,319.4305
2025-10-07 15:45:01,Hello; my name is (gen 14),GPU,0.0000,1465.7309,0.0000,0.0000,13858.1401,0.0000,12.0634,11.8328,0.5478,1.1582,11.9441,11.7873,1.2681,0.8005,11.8627,11.7694,0.9265,0.9005,13704.6367,9454.7642,10598.9132,282.2993
2025-10-07 15:45:04,Hello; my name is (gen 15),GPU,0.5143,2030.9372,0.0000,7.2754,12118.2311,0.0000,12.0760,11.9845,0.6261,1.1804,11.8905,11.9024,0.9816,0.5014,12.0728,11.7070,0.5466,0.9113,14147.1015,5966.8172,10668.6018,297.7526
2025-10-07 15:45:05,Hello; my name is (gen 16),GPU,0.5107,1278.3279,0.0000,5.2526,10070.1920,0.0000,12.0521,11.7788,1.2059,0.8732,12.0735,11.8397,1.3877,0.6647,11.9826,11.7046,0.7207,0.8637,10285.3100,7877.6280,10109.4347,709.4507
2025-10-07 15:45:08,Hello; my name is (gen 17),GPU,0.0000,2024.7772,0.0000,0.0000,17736.0634,0.0000,12.0532,11.9014,0.7825,1.1439,12.0776,11.8086,1.3904,0.7416,11.9961,11.7121,1.3878,0.9514,13614.0592,8759.5137,11142.9279,427.2144
2025-10-07 15:45:10,Hello; my name is (gen 18),GPU,0.5171,1663.2128,0.0000,2.7916,13344.3579,0.0000,11.8037,11.7182,1.4825,0.4607,12.0918,11.7437,1.1904,0.6829,11.8218,11.8051,0.6563,0.8122,5398.2431,8023.2416,9588.4718,540.8445
2025-10-07 15:45:14,Hello; my name is (gen 19),GPU,0.0000,4091.9712,0.0000,0.0000,37666.8858,0.0000,12.0610,11.9722,0.6803,0.7809,11.9717,11.8455,1.1277,0.7788,11.8248,11.9082,0.8164,1.0438,9348.6241,9205.0712,12429.2575,579.5747
2025-10-07 15:45:16,Hello; my name is (gen 20),GPU,0.0000,906.7280,0.0000,0.0000,7682.9853,0.0000,11.9218,11.7340,1.1337,0.4671,11.9791,11.8428,0.7745,0.7151,11.9615,11.7306,1.2275,1.0696,5480.9227,8473.3074,12547.4648,241.7964
2025-10-07 15:45:17,Hello; my name is (gen 21),GPU,0.0000,1092.7231,0.0000,0.0000,12457.4426,0.0000,11.9265,11.9737,1.0697,0.5005,11.9327,11.8105,1.2329,0.9654,11.8334,11.7122,0.7051,0.9687,5993.4028,11400.3650,11345.1462,690.7476
2025-10-07 15:45:20,Hello; my name is (gen 22),GPU,0.0000,2034.9731,0.0000,0.0000,20737.5443,0.0000,12.0787,11.8024,0.7784,1.0863,12.0998,11.7798,1.1534,0.8656,11.9228,11.9760,0.5865,0.8503,12820.5753,10190.5739,10182.7094,577.1628
2025-10-07 15:45:23,Hello; my name is (gen 23),GPU,0.0000,2583.2574,0.0000,0.0000,22367.8192,0.0000,11.9110,11.8640,0.8193,0.8004,12.0926,11.8014,0.9551,0.7329,11.9145,11.8164,1.0424,0.6648,9496.2391,8658.7651,7855.0242,302.4531
2025-10-07 15:45:24,Hello; my name is (gen 24),GPU,0.0000,1098.5692,0.0000,0.0000,10729.8554,0.0000,11.9960,11.9784,1.1862,0.5650,11.9763,11.8476,0.7395,0.8259,12.0012,11.8316,1.4480,0.8166,6767.3510,9767.1187,9662.0531,427.2423
2025-10-07 15:45:25,Hello; my name is (gen 25),GPU,0.0000,908.6642,0.0000,0.0000,10170.5279,0.0000,11.8337,11.7974,0.8910,0.4599,11.8864,11.8421,0.9826,0.9470,12.0023,11.8880,0.8077,0.6520,5426.0169,11192.8341,7751.1198,629.3302
2025-10-07 15:45:27,Hello; my name is (gen 26),GPU,0.0000,1094.0955,0.0000,0.0000,9689.9772,0.0000,12.0695,11.9520,0.6305,1.0494,12.0151,11.7771,0.7707,0.7526,11.9754,11.7631,0.9585,0.7320,12542.0174,8856.6103,8611.1533,557.7921
2025-10-07 15:45:29,Hello; my name is (gen 27),GPU,0.5107,1279.0959,0.0000,3.1684,9002.7114,0.0000,11.9987,11.7821,1.2144,0.5266,11.8847,11.8807,1.2835,0.5929,12.0383,11.8703,0.9510,0.4019,6204.1193,7038.3397,4770.9446,315.5551
2025-10-07 15:45:31,Hello; my name is (gen 28),GPU,0.5069,2208.2694,0.0000,6.1547,21858.3062,0.0000,11.9868,11.8855,0.7808,1.0216,11.9274,11.8402,1.0699,0.8375,12.0965,11.9166,1.0321,0.6798,12142.3516,9898.3877,8100.6559,402.3624
2025-10-07 15:45:33,Hello; my name is (gen 29),GPU,0.0000,1829.8690,0.0000,0.0000,16959.7004,0.0000,11.9899,11.8440,0.8412,1.0525,12.0510,11.8476,1.3678,0.7818,11.8984,11.9796,0.9791,0.8834,12465.9255,9268.2592,10582.5893,609.4025
2025-10-07 15:45:36,Hello; my name is (gen 30),GPU,0.0000,2217.8345,0.0000,0.0000,24044.5954,0.0000,12.0271,11.8777,0.5350,0.6749,11.9973,11.8884,1.3428,0.9129,11.8672,11.7175,0.6256,0.6865,8015.8046,10841.4743,8044.3507,213.9527
2025-10-07 15:45:38,Hello; my name is (gen 31),GPU,0.0000,1838.3656,1.0002,0.0000,18564.0422,7.8854,11.9333,11.8357,0.5643,0.8964,12.0604,11.9079,0.8162,0.8485,11.8794,11.8133,1.3930,0.6674,10608.9893,10098.1234,7884.0713,319.1916
2025-10-07 15:45:41,Hello; my name is (gen 32),GPU,0.0000,2786.4769,1.0049,0.0000,36588.6887,5.6235,11.9381,11.7335,1.4487,0.6909,12.0844,11.7970,1.4711,1.1128,12.0485,11.7410,1.0872,0.4766,8106.7641,13130.8066,5595.8873,366.0751
2025-10-07 15:45:44,Hello; my name is (gen 33),GPU,0.0000,2404.0747,1.0006,0.0000,20950.4307,6.6181,12.0826,11.8860,1.2390,0.5999,12.0495,11.8831,1.2171,0.7313,11.9883,11.7487,1.4880,0.5629,7130.6472,8714.5507,6613.8982,696.8721
2025-10-07 15:45:46,Hello; my name is (gen 34),GPU,0.0000,1835.1438,0.9999,0.0000,18420.9236,6.9614,11.8141,11.8594,0.6050,0.7715,11.9765,11.8164,1.3150,0.8503,11.9328,11.8923,1.3940,0.5854,9149.0419,10037.8638,6961.8702,569.3681
2025-10-07 15:45:50,Hello; my name is (gen 35),GPU,0.0000,2972.4154,0.0000,0.0000,27566.8652,0.0000,11.8386,11.7842,0.8376,0.4003,12.0624,11.8479,1.3663,0.7834,11.9182,11.9727,0.9485,0.4383,4717.6539,9274.2302,5248.1283,611.0308
2025-10-07 15:45:52,Hello; my name is (gen 36),GPU,0.0000,2026.5563,0.0000,0.0000,16037.2496,0.0000,12.0552,11.8280,1.1711,0.6246,11.9927,11.9009,0.7621,0.6649,11.8701,11.9816,1.0541,1.1463,7388.0957,7913.5477,13734.6905,377.2463
2025-10-07 15:45:54,Hello; my name is (gen 37),GPU,0.0000,1474.3845,0.0000,0.0000,9543.1195,0.0000,12.0844,11.8163,1.1703,1.1409,12.0566,11.8753,1.4129,0.5448,12.0557,11.7447,1.0914,0.9454,13481.5219,6472.6123,11102.9269,386.9790
2025-10-07 15:45:56,Hello; my name is (gen 38),GPU,0.0000,1277.0143,1.0040,0.0000,15108.1705,6.3768,12.0165,11.9270,1.2716,0.4354,11.9623,11.8514,1.2565,0.9990,11.8576,11.8034,1.1198,0.5381,5192.4892,11830.8550,6351.5523,786.2224
2025-10-07 15:45:58,Hello; my name is (gen 39),GPU,0.0000,1653.7364,0.0000,0.0000,13019.6540,0.0000,11.9105,11.8560,1.0417,0.6223,11.9683,11.9006,1.3748,0.6612,11.9266,11.8438,0.6759,0.4148,7378.4735,7872.8716,4913.2213,440.9550
2025-10-07 15:46:01,Hello; my name is (gen 40),GPU,0.0000,2219.6715,0.0000,0.0000,24181.6243,0.0000,11.8407,11.9523,1.0477,0.7441,12.0676,11.7242,1.0381,0.9294,12.0604,11.7747,0.9474,0.7596,8894.0509,10894.2357,8943.8153,209.2304
2025-10-07 15:46:03,Hello; my name is (gen 41),GPU,0.5095,1652.8084,0.0000,5.2760,19356.7526,0.0000,12.0434,11.7295,0.7278,0.8828,11.9449,11.8294,1.4542,0.9909,11.8870,11.7133,1.3405,0.4215,10355.2351,11711.4315,4937.5229,299.8381
2025-10-07 15:46:12,Hello; my name is (gen 42),GPU,0.0000,9515.4221,0.0000,0.0000,88837.2433,0.0000,12.0894,11.9265,1.4430,0.5958,11.9835,11.7650,1.2540,0.7950,12.0410,11.7121,1.3057,0.8059,7105.2265,9336.1327,9438.2979,610.3794
2025-10-07 15:46:15,Hello; my name is (gen 43),GPU,0.0000,2036.5367,1.5030,0.0000,13229.0348,10.5953,12.0668,11.9206,0.5383,0.7008,11.9670,11.7783,1.0098,0.5514,12.0271,11.8792,0.6031,0.5934,8353.6110,6495.8490,7049.5027,454.7247
2025-10-07 15:46:17,Hello; my name is (gen 44),GPU,0.0000,1657.1074,0.0000,0.0000,20408.7060,0.0000,12.0388,11.8437,0.6906,0.6995,11.9060,11.7480,1.0370,1.0486,12.0923,11.9106,1.1272,1.1657,8284.5649,12315.8623,13884.1940,312.3180
2025-10-07 15:46:19,Hello; my name is (gen 45),GPU,0.0000,1474.0725,0.0000,0.0000,12834.1597,0.0000,11.9573,11.8148,0.9454,1.0501,11.8925,11.7775,1.1481,0.7396,11.8099,11.7062,0.9795,1.0046,12406.5290,8706.6003,11759.8350,621.0564
2025-10-07 15:46:21,Hello; my name is (gen 46),GPU,0.0000,1655.0450,0.0000,0.0000,16745.7085,0.0000,11.8743,11.7250,0.7014,0.8999,11.9486,11.8172,1.1820,0.8556,11.9711,11.8144,0.6642,1.0951,10550.8361,10117.9776,12938.2342,798.0147
2025-10-07 15:46:24,Hello; my name is (gen 47),GPU,0.0000,2217.5574,0.0000,0.0000,25336.4596,0.0000,11.9015,11.7953,1.2176,0.6766,12.0462,11.7394,1.3424,0.9733,11.8192,11.8288,0.6957,1.0157,7981.2062,11425.3905,12014.4160,465.0946
2025-10-07 15:46:25,Hello; my name is (gen 48),GPU,0.0000,1476.5191,0.0000,0.0000,11649.6840,0.0000,11.9922,11.8691,1.3947,0.7978,11.8778,11.9655,1.0621,0.6593,12.0335,11.8489,0.9694,0.8072,9469.5223,7889.9649,9564.8751,238.3850
2025-10-07 15:46:27,Hello; my name is (gen 49),GPU,0.0000,1280.7815,0.0000,0.0000,9531.7723,0.0000,11.9463,11.7280,1.0113,0.7018,12.0052,11.9389,1.1970,0.6232,11.8250,11.9075,0.9045,0.8727,8230.4931,7442.1532,10391.4261,404.5250
2025-10-07 15:46:29,Hello; my name is (gen 50),GPU,0.0000,1469.8675,0.0000,0.0000,15742.2535,0.0000,11.8967,11.9324,1.3265,0.4490,12.0925,11.9043,1.4975,0.9006,11.8404,11.9094,1.3312,0.8523,5357.4787,10709.9816,10150.2326,335.2785
2025-10-07 15:46:30,Hello; my name is (gen 51),GPU,0.0000,910.0935,0.0000,0.0000,8965.9617,0.0000,12.0963,11.7696,0.6592,0.4525,12.0764,11.9468,1.1814,0.8244,12.0190,11.8466,1.4835,0.7575,5325.6453,9851.6925,8973.4469,697.5698
2025-10-07 15:46:32,Hello; my name is (gen 52),GPU,0.0000,1652.1173,0.0000,0.0000,20167.9994,0.0000,11.9423,11.7989,0.7976,1.1032,11.8891,11.7455,1.1223,1.0393,12.0722,11.7567,1.2283,0.8641,13016.0264,12207.3657,10159.5043,515.4051
