Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-09-15 20:42:17,000000411634.jpg,CPU1,11.677742004394531,84.11908149719238,0.14925003051757812,45.344672203063965,326.634393453598,0.5795378684997559,5056.0,5056.0,240.0,184.0,5056.0,5056.0,240.0,184.0,5056.0,5056.0,240.0,184.0,3883.0,3883.0,3883.0
2025-09-15 20:42:18,000000012802.jpg,CPU1,13.608694076538086,55.664777755737305,0.08463859558105469,55.59151530265808,227.3906171321869,0.3457486629486084,5056.0,5056.0,248.0,200.0,5056.0,5056.0,248.0,200.0,5056.0,5056.0,248.0,200.0,4085.0,4085.0,4085.0
2025-09-15 20:42:19,000000379113.jpg,CPU1,5.825042724609375,53.29561233520508,0.08559226989746094,25.44378662109375,232.79523468017578,0.3738670349121094,5056.0,5056.0,264.0,212.0,5056.0,5056.0,264.0,212.0,5056.0,5056.0,264.0,212.0,4368.0,4368.0,4368.0
2025-09-15 20:42:20,000000290388.jpg,CPU1,10.425090789794922,53.60746383666992,0.08106231689453125,41.80461406707764,214.9659299850464,0.3250598907470703,5056.0,5056.0,248.0,192.0,5056.0,5056.0,248.0,192.0,5056.0,5056.0,248.0,192.0,4010.0,4010.0,4010.0
2025-09-15 20:42:21,000000152104.jpg,CPU1,8.634805679321289,53.13277244567871,0.08273124694824219,36.31799268722534,223.47644090652466,0.34796762466430664,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,4206.0,4206.0,4206.0
2025-09-15 20:42:22,000000175194.jpg,CPU1,7.574558258056641,52.94609069824219,0.08106231689453125,30.017974376678467,209.8253574371338,0.32124996185302734,5056.0,5056.0,248.0,188.0,5056.0,5056.0,248.0,188.0,5056.0,5056.0,248.0,188.0,3963.0,3963.0,3963.0
2025-09-15 20:42:23,000000554030.jpg,CPU1,6.464481353759766,52.918434143066406,0.08296966552734375,26.665985584259033,218.28854084014893,0.34224987030029297,5056.0,5056.0,248.0,196.0,5056.0,5056.0,248.0,196.0,5056.0,5056.0,248.0,196.0,4125.0,4125.0,4125.0
2025-09-15 20:42:24,000000445284.jpg,CPU1,9.368658065795898,53.16877365112305,0.07653236389160156,41.29704475402832,234.3679542541504,0.3373546600341797,5048.0,5048.0,264.0,220.0,5048.0,5048.0,264.0,220.0,5048.0,5048.0,264.0,220.0,4408.0,4408.0,4408.0
2025-09-15 20:42:26,000000335007.jpg,CPU1,7.707834243774414,53.014516830444336,0.07605552673339844,32.419150829315186,222.97905778884888,0.31988954544067383,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,4206.0,4206.0,4206.0
2025-09-15 20:42:27,000000256063.jpg,CPU1,7.83991813659668,52.99496650695801,0.0858306884765625,33.2961323261261,225.06962275505066,0.36452293395996094,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,5056.0,5056.0,256.0,204.0,4247.0,4247.0,4247.0
2025-09-15 20:42:28,000000078545.jpg,CPU1,7.155656814575195,60.4701042175293,0.08654594421386719,29.810466289520264,251.91845417022705,0.3605504035949707,5056.0,5056.0,248.0,200.0,5056.0,5056.0,248.0,200.0,5056.0,5056.0,248.0,200.0,4166.0,4166.0,4166.0
