Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-09-15 20:57:37,000000411634.jpg,CPU4,10.909557342529297,42.43874549865723,0.14591217041015625,42.36181116104126,164.789648771286,0.5665769577026367,5056.0,5056.0,240.0,188.0,5056.0,5056.0,240.0,188.0,5056.0,5056.0,240.0,188.0,3883.0,3883.0,3883.0
2025-09-15 20:57:38,000000012802.jpg,CPU4,18.575668334960938,41.43857955932617,0.10085105895996094,73.6153736114502,164.22109079360962,0.3996727466583252,5056.0,5056.0,240.0,188.0,5056.0,5056.0,240.0,188.0,5056.0,5056.0,240.0,188.0,3963.0,3963.0,3963.0
2025-09-15 20:57:39,000000379113.jpg,CPU4,7.071256637573242,44.747114181518555,0.07367134094238281,26.637423753738403,168.5623791217804,0.27751994132995605,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3767.0,3767.0,3767.0
2025-09-15 20:57:40,000000290388.jpg,CPU4,9.351491928100586,39.4129753112793,0.08463859558105469,36.36795210838318,153.27706098556519,0.3291594982147217,5056.0,5056.0,240.0,180.0,5056.0,5056.0,240.0,180.0,5056.0,5056.0,240.0,180.0,3889.0,3889.0,3889.0
2025-09-15 20:57:41,000000152104.jpg,CPU4,11.277914047241211,42.62089729309082,0.11277198791503906,52.374632835388184,197.93144702911377,0.5237131118774414,5040.0,5040.0,272.0,232.0,5040.0,5040.0,272.0,232.0,5040.0,5040.0,272.0,232.0,4644.0,4644.0,4644.0
2025-09-15 20:57:42,000000175194.jpg,CPU4,9.271383285522461,41.480302810668945,0.06842613220214844,48.14629340171814,215.40721249580383,0.35533690452575684,5024.0,5024.0,280.0,280.0,5024.0,5024.0,280.0,280.0,5024.0,5024.0,280.0,280.0,5193.0,5193.0,5193.0
2025-09-15 20:57:43,000000554030.jpg,CPU4,8.913278579711914,38.867950439453125,0.09322166442871094,47.64147400856018,207.74919509887695,0.49826979637145996,5024.0,5024.0,296.0,292.0,5024.0,5024.0,296.0,292.0,5024.0,5024.0,296.0,292.0,5345.0,5345.0,5345.0
2025-09-15 20:57:44,000000445284.jpg,CPU4,13.012886047363281,39.14022445678711,0.13780593872070312,60.95235824584961,183.33281135559082,0.6454830169677734,5048.0,5048.0,280.0,232.0,5048.0,5048.0,280.0,232.0,5048.0,5048.0,280.0,232.0,4684.0,4684.0,4684.0
2025-09-15 20:57:45,000000335007.jpg,CPU4,10.515689849853516,46.95463180541992,0.07128715515136719,46.78430414199829,208.90115690231323,0.3171565532684326,5056.0,5052.0,264.0,216.0,5056.0,5052.0,264.0,216.0,5056.0,5052.0,264.0,216.0,4449.0,4449.0,4449.0
2025-09-15 20:57:46,000000256063.jpg,CPU4,9.395360946655273,35.507917404174805,0.05602836608886719,40.27791237831116,152.2224419116974,0.24019360542297363,5048.0,5048.0,256.0,204.0,5048.0,5048.0,256.0,204.0,5048.0,5048.0,256.0,204.0,4287.0,4287.0,4287.0
2025-09-15 20:57:47,000000078545.jpg,CPU4,8.538246154785156,35.227298736572266,0.060558319091796875,44.26226806640625,182.61831665039062,0.313934326171875,5024.0,5024.0,288.0,268.0,5024.0,5024.0,288.0,268.0,5024.0,5024.0,288.0,268.0,5184.0,5184.0,5184.0
2025-09-15 20:57:49,000000443622.jpg,CPU4,5.2928924560546875,38.75994682312012,0.10919570922851562,23.29401969909668,170.58252596855164,0.48057031631469727,5048.0,5048.0,264.0,216.0,5048.0,5048.0,264.0,216.0,5048.0,5048.0,264.0,216.0,4401.0,4401.0,4401.0
2025-09-15 20:57:50,000000450708.jpg,CPU4,10.980606079101562,45.84789276123047,0.064849853515625,44.40557098388672,185.40887832641602,0.2622528076171875,5056.0,5056.0,248.0,192.0,5056.0,5056.0,248.0,192.0,5056.0,5056.0,248.0,192.0,4044.0,4044.0,4044.0
2025-09-15 20:57:51,000000498893.jpg,CPU4,7.305622100830078,36.8809700012207,0.04935264587402344,28.411564350128174,143.43009233474731,0.19193243980407715,5056.0,5056.0,240.0,184.0,5056.0,5056.0,240.0,184.0,5056.0,5056.0,240.0,184.0,3889.0,3889.0,3889.0
2025-09-15 20:57:52,000000284904.jpg,CPU4,8.322000503540039,43.256282806396484,0.051975250244140625,31.69017791748047,164.7199249267578,0.1979217529296875,5056.0,5056.0,232.0,176.0,5056.0,5056.0,232.0,176.0,5056.0,5056.0,232.0,176.0,3808.0,3808.0,3808.0
2025-09-15 20:57:53,000000238144.jpg,CPU4,9.978771209716797,43.32685470581055,0.04887580871582031,38.398311614990234,166.72173690795898,0.18807411193847656,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3848.0,3848.0,3848.0
2025-09-15 20:57:54,000000006947.jpg,CPU4,8.243799209594727,42.49906539916992,0.05030632019042969,31.054391622543335,160.0939793586731,0.18950390815734863,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:57:55,000000046713.jpg,CPU4,10.05411148071289,37.06622123718262,0.05602836608886719,37.87383794784546,139.62845540046692,0.2110588550567627,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:57:56,000000212278.jpg,CPU4,8.656501770019531,35.28451919555664,0.11014938354492188,32.609042167663574,132.91678380966187,0.4149327278137207,5056.0,5056.0,232.0,176.0,5056.0,5056.0,232.0,176.0,5056.0,5056.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:57:57,000000535680.jpg,CPU4,9.439706802368164,42.655229568481445,0.06437301635742188,34.79475927352905,157.2271761894226,0.23727893829345703,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:57:58,000000379036.jpg,CPU4,11.801719665527344,44.04401779174805,0.07271766662597656,43.50113868713379,162.3462495803833,0.2680373191833496,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:57:59,000000290084.jpg,CPU4,10.06627082824707,42.54627227783203,0.05888938903808594,37.1042742729187,156.82555961608887,0.21706628799438477,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:00,000000290580.jpg,CPU4,9.176015853881836,42.340993881225586,0.054836273193359375,33.82279443740845,156.0689034461975,0.20212650299072266,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:01,000000062751.jpg,CPU4,5.965232849121094,42.52433776855469,0.04863739013671875,21.98784828186035,156.74470901489258,0.1792774200439453,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:02,000000034560.jpg,CPU4,9.569168090820312,42.702436447143555,0.07390975952148438,35.27195358276367,157.40118074417114,0.2724313735961914,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:03,000000422076.jpg,CPU4,11.077880859375,47.71566390991211,0.06079673767089844,40.83306884765625,175.87993717193604,0.22409677505493164,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:04,000000255220.jpg,CPU4,7.509469985961914,43.37739944458008,0.05412101745605469,27.679906368255615,159.88909435272217,0.19949007034301758,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3686.0,3686.0,3686.0
2025-09-15 20:58:05,000000027614.jpg,CPU4,9.669780731201172,43.340206146240234,0.06008148193359375,35.64281177520752,159.7519998550415,0.22146034240722656,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3686.0,3686.0,3686.0
2025-09-15 20:58:06,000000392258.jpg,CPU4,9.215831756591797,43.303489685058594,0.054836273193359375,34.34740495681763,161.39210605621338,0.2043747901916504,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3727.0,3727.0,3727.0
2025-09-15 20:58:07,000000364903.jpg,CPU4,10.020732879638672,43.34259033203125,0.05650520324707031,37.34727144241333,161.53783416748047,0.21059489250183105,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3727.0,3727.0,3727.0
2025-09-15 20:58:09,000000504281.jpg,CPU4,9.048223495483398,42.676687240600586,0.055789947509765625,33.722728967666626,159.05601334571838,0.20792913436889648,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3727.0,3727.0,3727.0
2025-09-15 20:58:10,000000068039.jpg,CPU4,11.13271713256836,42.69051551818848,0.04935264587402344,41.93694543838501,160.815171957016,0.1859114170074463,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3767.0,3767.0,3767.0
2025-09-15 20:58:11,000000516894.jpg,CPU4,8.470773696899414,43.256282806396484,0.059604644775390625,31.570573568344116,161.2161660194397,0.22214651107788086,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3727.0,3727.0,3727.0
2025-09-15 20:58:12,000000138014.jpg,CPU4,9.247064590454102,42.658090591430664,0.05888938903808594,34.8336923122406,160.6930272579193,0.22183632850646973,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:58:13,000000351605.jpg,CPU4,10.274171829223633,42.76323318481445,0.05269050598144531,38.702805280685425,161.08909940719604,0.1984851360321045,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:58:14,000000101709.jpg,CPU4,14.292001724243164,48.098087310791016,0.05984306335449219,54.42394256591797,183.1575164794922,0.22788238525390625,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3808.0,3808.0,3808.0
2025-09-15 20:58:15,000000066122.jpg,CPU4,9.463071823120117,34.28912162780762,0.05650520324707031,35.64739155769348,129.1671211719513,0.21285510063171387,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,5064.0,5064.0,232.0,176.0,3767.0,3767.0,3767.0
2025-09-15 20:58:16,000000368642.jpg,CPU4,7.304191589355469,39.85404968261719,0.11706352233886719,27.222722053527832,147.7190351486206,0.43149614334106445,5056.0,5056.0,232.0,172.0,5064.0,5060.0,232.0,170.0,5064.0,5064.0,232.0,168.0,3727.0,3706.5,3686.0
2025-09-15 20:58:17,000000454964.jpg,CPU4,7.843017578125,43.88713836669922,0.0972747802734375,28.59564208984375,160.01250648498535,0.3546638488769531,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3646.0,3646.0,3646.0
2025-09-15 20:58:18,000000136214.jpg,CPU4,12.537956237792969,43.558359146118164,0.09775161743164062,45.713388442993164,158.81377744674683,0.3564023971557617,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3646.0,3646.0,3646.0
2025-09-15 20:58:19,000000284959.jpg,CPU4,9.700536727905273,43.08319091796875,0.07700920104980469,35.36815690994263,157.08131408691406,0.2807755470275879,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3646.0,3646.0,3646.0
2025-09-15 20:58:20,000000577846.jpg,CPU4,6.208658218383789,42.94633865356445,0.07724761962890625,22.885114192962646,158.30020427703857,0.28473472595214844,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:21,000000263151.jpg,CPU4,9.554147720336914,42.94633865356445,0.07677078247070312,35.216588497161865,158.30020427703857,0.2829771041870117,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:22,000000138298.jpg,CPU4,8.337974548339844,42.685747146606445,0.06961822509765625,30.733774185180664,157.33966398239136,0.25661277770996094,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:23,000000393712.jpg,CPU4,8.411169052124023,42.545318603515625,0.07462501525878906,31.00356912612915,156.8220443725586,0.2750678062438965,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:24,000000196412.jpg,CPU4,9.571552276611328,43.03455352783203,0.06914138793945312,35.280741691589355,158.62536430358887,0.2548551559448242,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,5064.0,5064.0,232.0,168.0,3686.0,3686.0,3686.0
2025-09-15 20:58:25,000000200707.jpg,CPU4,10.17308235168457,42.93966293334961,0.06914138793945312,37.497981548309326,158.27559757232666,0.2548551559448242,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,5064.0,5064.0,232.0,172.0,3686.0,3686.0,3686.0
