Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-09-15 11:01:23,000000411634.jpg,CPU1,93.7,163.2,0.1,363.9,633.7,0.5,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-09-15 11:01:24,000000012802.jpg,CPU1,32.9,103.8,0.1,157.7,498.3,0.4,5040.00,5040.00,272.00,240.00,5040.00,5040.00,272.00,240.00,5040.00,5040.00,272.00,240.00,4798.00,4798.00,4798.00
2025-09-15 11:01:25,000000379113.jpg,CPU1,36.4,101.5,0.1,148.7,414.7,0.3,5056.00,5056.00,248.00,196.00,5056.00,5056.00,248.00,196.00,5056.00,5056.00,248.00,196.00,4085.00,4085.00,4085.00
2025-09-15 11:01:27,000000290388.jpg,CPU1,22.3,107.3,0.1,91.0,438.1,0.3,5056.00,5056.00,248.00,196.00,5056.00,5056.00,248.00,196.00,5056.00,5056.00,248.00,196.00,4085.00,4085.00,4085.00
2025-09-15 11:01:28,000000152104.jpg,CPU1,24.6,111.5,0.1,96.3,415.5,0.3,5056.00,5056.00,232.00,184.00,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,3923.00,3727.00,3727.00
2025-09-15 11:01:29,000000175194.jpg,CPU1,24.7,112.3,0.1,92.1,418.4,0.3,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,3727.00,3727.00,3727.00
2025-09-15 11:01:30,000000554030.jpg,CPU1,21.9,109.7,0.1,82.3,413.2,0.3,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,3767.00,3767.00,3767.00
2025-09-15 11:01:31,000000445284.jpg,CPU1,23.2,101.6,0.1,88.4,386.7,0.3,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3808.00,3808.00,3808.00
2025-09-15 11:01:32,000000335007.jpg,CPU1,22.9,108.3,0.1,88.1,416.8,0.3,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3848.00,3848.00,3848.00
2025-09-15 11:01:33,000000256063.jpg,CPU1,24.4,107.7,0.1,95.9,422.6,0.4,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,3923.00,3923.00,3923.00
2025-09-15 11:01:35,000000078545.jpg,CPU1,21.1,109.9,0.1,85.3,444.5,0.4,5056.00,5056.00,240.00,192.00,5056.00,5056.00,240.00,192.00,5056.00,5056.00,240.00,192.00,4044.00,4044.00,4044.00
2025-09-15 11:01:36,000000443622.jpg,CPU1,16.1,116.3,0.1,63.1,444.9,0.3,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,180.00,5056.00,5056.00,232.00,172.00,3923.00,3825.00,3727.00
