Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-09-16T12:39:37,1,CPU4,0.6416,0.1247,0.0150,2.4432,0.4748,0.0572,5056.0000,5056.0000,240.0000,180.0000,5056.0000,5056.0000,240.0000,180.0000,5056.0000,5056.0000,240.0000,180.0000,3808.0000,3808.0000,3808.0000
2025-09-16T12:39:38,2,CPU4,1.3402,0.2961,0.0241,6.5922,1.4566,0.1185,5040.0000,5040.0000,304.0000,260.0000,5040.0000,5040.0000,304.0000,260.0000,5040.0000,5040.0000,304.0000,260.0000,4919.0000,4919.0000,4919.0000
2025-09-16T12:39:39,3,CPU4,0.6683,0.0889,0.0124,3.2546,0.4331,0.0604,5032.0000,5032.0000,288.0000,256.0000,5032.0000,5032.0000,288.0000,256.0000,5032.0000,5032.0000,288.0000,256.0000,4870.0000,4870.0000,4870.0000
2025-09-16T12:39:40,4,CPU4,0.8342,0.1473,0.0129,3.2727,0.5780,0.0505,5056.0000,5056.0000,240.0000,184.0000,5056.0000,5056.0000,240.0000,184.0000,5056.0000,5056.0000,240.0000,184.0000,3923.0000,3923.0000,3923.0000
2025-09-16T12:39:41,5,CPU4,1.0602,0.1557,0.0129,3.9876,0.5855,0.0484,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3761.0000,3761.0000,3761.0000
2025-09-16T12:39:42,6,CPU4,0.8128,0.1063,0.0231,3.0568,0.3999,0.0870,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3761.0000,3761.0000,3761.0000
2025-09-16T12:39:43,7,CPU4,0.8078,0.1431,0.0134,3.0711,0.5439,0.0508,5056.0000,5056.0000,240.0000,180.0000,5056.0000,5056.0000,240.0000,180.0000,5056.0000,5056.0000,240.0000,180.0000,3802.0000,3802.0000,3802.0000
2025-09-16T12:39:44,8,CPU4,1.2252,0.1681,0.0229,4.6155,0.6332,0.0862,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:45,9,CPU4,0.7052,0.1509,0.0215,2.6566,0.5685,0.0808,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:46,10,CPU4,0.3407,0.0968,0.0162,1.2814,0.3641,0.0610,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3761.0000,3761.0000,3761.0000
2025-09-16T12:39:47,11,CPU4,0.5479,0.0961,0.0150,2.0639,0.3619,0.0566,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:48,12,CPU4,0.6633,0.0978,0.0210,2.4986,0.3682,0.0790,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:49,13,CPU4,1.2958,0.1674,0.0181,4.8295,0.6238,0.0675,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:39:50,14,CPU4,1.0333,0.1662,0.0241,3.8511,0.6193,0.0897,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:39:51,15,CPU4,0.5105,0.1488,0.0136,1.9025,0.5545,0.0506,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:39:52,16,CPU4,1.0195,0.1683,0.0234,3.8761,0.6400,0.0888,5056.0000,5056.0000,232.0000,176.0000,5056.0000,5056.0000,232.0000,176.0000,5056.0000,5056.0000,232.0000,176.0000,3802.0000,3802.0000,3802.0000
2025-09-16T12:39:53,17,CPU4,0.7784,0.1476,0.0136,2.9012,0.5500,0.0506,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:39:54,18,CPU4,0.9172,0.1044,0.0229,3.4551,0.3934,0.0862,5056.0000,5056.0000,240.0000,176.0000,5056.0000,5056.0000,240.0000,176.0000,5056.0000,5056.0000,240.0000,176.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:55,19,CPU4,0.7734,0.1593,0.0191,3.0651,0.6312,0.0756,5056.0000,5056.0000,240.0000,188.0000,5056.0000,5056.0000,240.0000,188.0000,5056.0000,5056.0000,240.0000,188.0000,3963.0000,3963.0000,3963.0000
2025-09-16T12:39:56,20,CPU4,0.7284,0.1040,0.0193,2.7438,0.3916,0.0727,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:57,21,CPU4,1.4760,0.1783,0.0255,5.5012,0.6647,0.0951,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:39:58,22,CPU4,1.1582,0.1831,0.0236,4.3631,0.6898,0.0889,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:39:59,23,CPU4,0.6859,0.1652,0.0210,2.5839,0.6224,0.0790,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:40:00,24,CPU4,1.3254,0.1678,0.0155,4.9927,0.6323,0.0584,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:40:01,25,CPU4,0.9699,0.1626,0.0262,3.6536,0.6125,0.0988,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:40:02,26,CPU4,0.8366,0.1721,0.0153,3.0837,0.6345,0.0562,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3686.0000,3686.0000,3686.0000
2025-09-16T12:40:03,27,CPU4,1.8673,0.1616,0.0451,6.9594,0.6025,0.1679,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:04,28,CPU4,0.9174,0.1616,0.0174,3.4560,0.6089,0.0656,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:40:05,29,CPU4,0.8378,0.1667,0.0198,3.1225,0.6211,0.0738,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:06,30,CPU4,2.1102,0.1659,0.0198,7.8649,0.6185,0.0738,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:07,31,CPU4,1.5874,0.5238,0.0324,5.9797,1.9732,0.1221,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
2025-09-16T12:40:08,32,CPU4,1.5590,0.1619,0.0222,5.8105,0.6033,0.0826,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:09,33,CPU4,0.9809,0.1628,0.0231,3.6556,0.6069,0.0862,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:10,34,CPU4,2.4793,0.1636,0.0215,9.2404,0.6096,0.0800,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:11,35,CPU4,1.2255,0.1683,0.0215,4.5673,0.6273,0.0800,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:12,36,CPU4,1.5457,0.1631,0.0224,5.7607,0.6078,0.0835,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:13,37,CPU4,0.7241,0.1667,0.0224,2.6986,0.6211,0.0835,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:14,38,CPU4,1.4071,0.1841,0.0234,5.1867,0.6784,0.0861,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3686.0000,3686.0000,3686.0000
2025-09-16T12:40:15,39,CPU4,0.8640,0.1724,0.0229,3.2202,0.6424,0.0853,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:16,40,CPU4,1.2901,0.1686,0.0224,4.8081,0.6282,0.0835,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3727.0000,3727.0000,3727.0000
2025-09-16T12:40:17,41,CPU4,0.8783,0.1700,0.1435,3.3087,0.6404,0.5407,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,5056.0000,5056.0000,232.0000,172.0000,3767.0000,3767.0000,3767.0000
